match_id,match_date,competition,competition_stage,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,num_bets_home,num_bets_draw,num_bets_away,odds_source,bookmaker,snapshot_type,source_match_url,official_result_url
2025-11-18_romania_san_marino,2025-11-18,FIFA World Cup qualification,Qualifiers,Romania,San Marino,7.0,1.0,1.03,34.0,81.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_scotland_denmark,2025-11-18,FIFA World Cup qualification,Qualifiers,Scotland,Denmark,4.0,2.0,3.51,3.35,2.07,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_scotland_denmark,2025-11-18,FIFA World Cup qualification,Qualifiers,Scotland,Denmark,4.0,2.0,3.6,3.45,2.12,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_spain_turkey,2025-11-18,FIFA World Cup qualification,Qualifiers,Spain,Turkey,2.0,2.0,1.18,7.23,13.69,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_spain_turkey,2025-11-18,FIFA World Cup qualification,Qualifiers,Spain,Turkey,2.0,2.0,1.2,8.0,16.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_sweden_slovenia,2025-11-18,FIFA World Cup qualification,Qualifiers,Sweden,Slovenia,1.0,1.0,1.68,3.62,5.24,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_sweden_slovenia,2025-11-18,FIFA World Cup qualification,Qualifiers,Sweden,Slovenia,1.0,1.0,1.73,3.8,5.75,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_wales_north_macedonia,2025-11-18,FIFA World Cup qualification,Qualifiers,Wales,North Macedonia,7.0,1.0,1.58,3.91,5.67,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_wales_north_macedonia,2025-11-18,FIFA World Cup qualification,Qualifiers,Wales,North Macedonia,7.0,1.0,1.61,4.2,6.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_czech_republic_gibraltar,2025-11-17,FIFA World Cup qualification,Qualifiers,Czech Republic,Gibraltar,6.0,0.0,1.02,19.5,53.12,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_czech_republic_gibraltar,2025-11-17,FIFA World Cup qualification,Qualifiers,Czech Republic,Gibraltar,6.0,0.0,1.03,26.0,76.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_germany_slovakia,2025-11-17,FIFA World Cup qualification,Qualifiers,Germany,Slovakia,6.0,0.0,1.27,5.75,9.56,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_germany_slovakia,2025-11-17,FIFA World Cup qualification,Qualifiers,Germany,Slovakia,6.0,0.0,1.29,6.0,11.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_malta_poland,2025-11-17,FIFA World Cup qualification,Qualifiers,Malta,Poland,2.0,3.0,9.53,5.11,1.31,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_malta_poland,2025-11-17,FIFA World Cup qualification,Qualifiers,Malta,Poland,2.0,3.0,11.0,5.5,1.36,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_montenegro_croatia,2025-11-17,FIFA World Cup qualification,Qualifiers,Montenegro,Croatia,2.0,3.0,6.4,4.4,1.47,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_montenegro_croatia,2025-11-17,FIFA World Cup qualification,Qualifiers,Montenegro,Croatia,2.0,3.0,7.25,4.6,1.51,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_netherlands_lithuania,2025-11-17,FIFA World Cup qualification,Qualifiers,Netherlands,Lithuania,4.0,0.0,1.05,13.89,34.56,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_netherlands_lithuania,2025-11-17,FIFA World Cup qualification,Qualifiers,Netherlands,Lithuania,4.0,0.0,1.07,18.0,51.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
