date,home_team,away_team,country,neutral,home_confederation,away_confederation,host_confederation,is_home_country,is_away_country,is_home_confed,is_away_confed
1984-02-27,Egypt,Iraq,Egypt,False,CAF,AFC,CAF,True,False,True,False
1984-02-28,Scotland,Wales,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1984-02-29,Belgium,Germany,Belgium,False,UEFA,UEFA,UEFA,True,False,True,True
1984-02-29,Egypt,Iraq,Egypt,False,CAF,AFC,CAF,True,False,True,False
1984-02-29,France,England,France,False,UEFA,UEFA,UEFA,True,False,True,True
1984-02-29,Luxembourg,Spain,Luxembourg,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-03,Turkey,Italy,Turkey,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-04,Cameroon,Egypt,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-04,Ivory Coast,Togo,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-03-05,Algeria,Malawi,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-05,Ghana,Nigeria,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-06,Brunei,Japan,Brunei,False,UEFA,AFC,UEFA,True,False,True,False
1984-03-07,Cameroon,Togo,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-07,Ivory Coast,Egypt,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-03-07,Romania,Greece,Romania,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-08,Algeria,Ghana,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-08,Malawi,Nigeria,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-09,Kuwait,Finland,Kuwait,False,AFC,UEFA,AFC,True,False,True,False
1984-03-09,Oman,Bahrain,Oman,False,AFC,AFC,AFC,True,False,True,True
1984-03-10,Kuwait,United Arab Emirates,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-10,Saudi Arabia,Qatar,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-10,Egypt,Togo,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-10,Ivory Coast,Cameroon,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-03-11,Algeria,Nigeria,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-11,Ghana,Malawi,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-11,Luxembourg,Turkey,Luxembourg,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-11,Oman,Iraq,Oman,False,AFC,AFC,AFC,True,False,True,True
1984-03-12,Bahrain,Kuwait,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-13,Panama,Cuba,Panama,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1984-03-13,Qatar,United Arab Emirates,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-14,Netherlands,Denmark,Netherlands,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-14,Algeria,Cameroon,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-14,Egypt,Nigeria,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-15,Oman,Saudi Arabia,Oman,False,AFC,AFC,AFC,True,False,True,True
1984-03-15,Iraq,United Arab Emirates,Oman,True,AFC,AFC,AFC,False,False,True,True
